customer_id,recency,frequency,monetary,customer_name,R_score,F_score,M_score,RFM_score,segment
1,16,5,7031.01,João Guilherme da Cruz,4,3,3,10,VIP
2,12,5,3586.5099999999998,Henrique da Conceição,4,3,2,9,Regular
3,29,7,6507.24,Emanuel Sampaio,3,4,3,10,VIP
4,80,4,2803.53,Aylla Fogaça,2,2,2,6,Ocasional
5,33,8,4573.63,Maria Cecília Oliveira,3,4,3,10,VIP
6,52,3,1039.97,Carlos Eduardo Garcia,2,1,1,4,Ocasional
7,8,4,1964.8300000000002,Ana Sophia Pereira,4,2,1,7,Regular
8,132,4,10239.58,Hellena Rodrigues,1,2,4,7,Regular
9,32,4,2462.67,Luara Cunha,3,2,2,7,Regular
10,49,2,7522.46,Zoe da Luz,2,1,4,7,Regular
11,130,5,7482.3099999999995,Daniel Cassiano,1,3,4,8,Regular
12,12,8,12517.35,Alexia Rodrigues,4,4,4,12,VIP
13,7,5,5957.68,João Montenegro,4,3,3,10,VIP
14,6,5,9911.470000000001,Sr. Vitor Hugo Vasconcelos,4,3,4,11,VIP
15,17,6,3376.52,Isaque Araújo,4,3,2,9,Regular
16,47,3,2206.1800000000003,Renan Novaes,2,1,1,4,Ocasional
17,136,2,3144.77,Leonardo Guerra,1,1,2,4,Ocasional
18,138,1,394.5,Heloísa Pastor,1,1,1,3,Inativo
19,12,2,2513.8700000000003,Sr. Théo da Costa,4,1,2,7,Regular
20,28,7,3854.32,Calebe Brito,3,4,2,9,Regular
21,11,7,9498.050000000001,Beatriz Araújo,4,4,4,12,VIP
22,103,1,20.69,Otávio Cirino,1,1,1,3,Inativo
24,209,3,958.21,Mathias da Luz,1,1,1,3,Inativo
25,46,5,9228.56,Vitor Hugo Araújo,2,3,4,9,Regular
26,17,3,2283.43,Bernardo Peixoto,4,1,2,7,Regular
27,151,1,328.5,Bruno Leão,1,1,1,3,Inativo
28,36,3,4832.58,Luara Sá,3,1,3,7,Regular
29,256,2,2813.0099999999998,Davi Lucca Ferreira,1,1,2,4,Ocasional
30,73,5,4331.01,Vinícius Albuquerque,2,3,2,7,Regular
31,26,5,2257.13,Gustavo Henrique Silva,3,3,1,7,Regular
32,7,7,7283.500000000001,Augusto Abreu,4,4,3,11,VIP
33,9,9,5777.39,Breno Sales,4,4,3,11,VIP
34,6,10,6726.599999999999,Sr. Luiz Henrique Costela,4,4,3,11,VIP
35,29,8,7243.43,Noah Alves,3,4,3,10,VIP
36,250,3,4414.44,Mateus Andrade,1,1,3,5,Ocasional
37,75,2,470.52,Murilo Farias,2,1,1,4,Ocasional
38,80,1,105.56,José Pedro Cavalcanti,2,1,1,4,Ocasional
39,281,1,1401.65,Bruna Gomes,1,1,1,3,Inativo
40,39,3,1256.67,Dra. Fernanda Fonseca,3,1,1,5,Ocasional
41,61,3,3825.25,Luana Rios,2,1,2,5,Ocasional
42,9,5,6099.950000000001,Emanuella Pimenta,4,3,3,10,VIP
43,111,4,2456.5,Luna Martins,1,2,2,5,Ocasional
44,26,8,8273.97,João Miguel Moraes,3,4,4,11,VIP
